code,name,industry,added_date,status
002008,大族激光,未知,2026-04-24,active
600549,厦门钨业,未知,2026-04-24,active
002241,歌尔股份,消费电子,2026-04-24,active
600118,中国卫星,未知,2026-04-24,active
600031,三一重工,未知,2026-04-24,active
001309,德明利,未知,2026-04-24,active
603063,禾望电气,未知,2026-04-24,active
603986,兆易创新,未知,2026-04-24,active
302132,中航成飞,未知,2026-04-24,active
601211,国泰海通,证券,2026-04-24,active
002414,高德红外,国防军工,2026-04-24,active
002815,茶花股份,未知,2026-04-24,active
600104,上汽集团,未知,2026-04-24,active
603218,日月股份,未知,2026-04-24,active
600458,时代新材,未知,2026-04-24,active
000822,山东海化,未知,2026-04-24,active
000737,北方铜业,未知,2026-04-24,active
